date,sector,sector_sentiment,headline_count,active_ticker_count,dominant_ticker,headline_weighted_sentiment,difference_headline_minus_equal_ticker,absolute_difference,sign_reversal,pearson_correlation,spearman_correlation,observation_count
2020-05-21,Energy,-0.04973999999999999,13,5.0,CVX,-0.015361538461538461,0.03437846153846153,0.03437846153846153,False,,,
2020-05-22,Energy,-0.04422533333333334,19,5.0,CVX,-0.028731578947368424,0.015493754385964915,0.015493754385964915,False,,,
2020-05-26,Energy,0.10177142857142858,29,5.0,CVX,0.09868275862068966,-0.0030886699507389204,0.0030886699507389204,False,,,
2020-05-27,Energy,-0.07417,14,4.0,XOM,-0.09050714285714286,-0.016337142857142856,0.016337142857142856,False,,,
2020-05-28,Energy,0.14303,10,5.0,XOM,0.19463999999999998,0.05160999999999999,0.05160999999999999,False,,,
2020-05-29,Energy,0.13018000000000002,20,5.0,OXY,0.195645,0.065465,0.065465,False,,,
2020-06-01,Energy,-0.10234071969696969,19,4.0,OXY,-0.06516842105263158,0.0371722986443381,0.0371722986443381,False,,,
2020-06-02,Energy,0.16811428571428572,16,4.0,OXY,0.174875,0.0067607142857142866,0.0067607142857142866,False,,,
2020-06-03,Energy,0.5271625,12,4.0,XOM,0.4561583333333334,-0.07100416666666659,0.07100416666666659,False,,,
2020-06-04,Energy,0.07703600000000001,12,5.0,XOM,0.07792500000000001,0.0008890000000000009,0.0008890000000000009,False,,,
2020-06-05,Energy,0.25553666666666663,33,5.0,XOM,0.07387878787878788,-0.18165787878787876,0.18165787878787876,False,,,
2020-06-08,Energy,0.12971057142857145,19,5.0,OXY,0.09716315789473684,-0.03254741353383461,0.03254741353383461,False,,,
2020-06-09,Energy,0.4114893333333334,20,5.0,OXY,0.21099,-0.20049933333333336,0.20049933333333336,False,,,
2020-06-10,Energy,-0.15578888888888887,24,5.0,OXY,-0.04678333333333332,0.10900555555555555,0.10900555555555555,False,,,
2020-06-11,Energy,-0.098045,27,5.0,XOM,-0.0006444444444444392,0.09740055555555556,0.09740055555555556,False,,,
2020-06-12,Energy,0.027370000000000016,10,5.0,COP,0.006700000000000006,-0.020670000000000008,0.020670000000000008,False,,,
2020-06-15,Energy,0.09615518518518519,20,3.0,XOM,-0.052754999999999996,-0.14891018518518517,0.14891018518518517,True,,,
2020-06-16,Energy,0.06768437499999999,15,4.0,XOM,0.08975333333333332,0.022068958333333333,0.022068958333333333,False,,,
2020-06-17,Energy,-0.0005199999999999996,10,4.0,XOM,-0.060809999999999996,-0.060289999999999996,0.060289999999999996,False,,,
